Pincode,Volumetric Lat,Volumetric Long
247470,19.98069566,86.07470565
854340,26.51596642,87.02524333
757052,21.69240267,86.9157215
722158,23.47645727,86.9395731
721504,22.60550742,86.9423743
852125,26.28878181,86.96147282
757028,21.63991459,86.92632847
757022,22.02820147,86.95919826
756021,21.40685486,86.92126202
722153,23.59721106,86.92503734
852115,25.76113103,86.88378533
757018,21.84017726,86.92185154
756171,20.82488527,86.92925005
721517,22.23607194,86.99510042
721506,22.2168202,86.88325903
757082,21.61042195,86.91477362
722162,22.7209465,86.84499657
722145,23.12181426,85.9468459
721505,22.53690849,86.8732019
721503,22.41476677,86.86504234
757100,21.74533842,86.87431421
756017,21.61205846,85.88766379
756053,21.25571972,85.88228125
814120,24.43522917,86.92786011
757023,21.93756046,86.89940592
723161,21.53942496,85.82173052
723150,24.43979407,85.79422723
723157,25.4793521,85.83187742
815357,24.16078667,86.77279101
756164,20.95768481,86.86991908
754248,20.72217002,86.88904664
721515,22.61224119,86.8032847
756060,21.44534495,86.84349825
756044,21.31656357,86.83836598
757025,21.73449348,86.81222716
756051,21.25430517,86.8291977
757029,21.83887007,86.80145325
757017,21.65190174,86.81930593
852141,23.04370582,85.68154233
852153,25.05392291,85.7266728
757014,22.07436379,86.76567504
847451,26.42249019,86.78486441
828206,23.69535271,86.77421241
832101,22.28823795,86.74568499
814150,24.36402867,86.82195583
814131,24.62298984,86.71797664
756042,21.3371115,86.74750293
852121,25.90507547,86.72235937
851216,25.31228651,86.73405612
756136,23.7988512,85.59902884
757026,21.7136778,86.73608274
832301,22.46104822,86.72908833
832112,22.94866117,86.29254939
852132,26.05343165,86.89402569
852137,26.21571328,87.03115662
721501,22.67479905,86.71670962
756130,20.99086364,86.67171802
754217,20.55821874,86.64538216
757031,22.21483581,86.63810855
755231,21.44121114,85.62112914
851201,25.52326818,86.67218813
756167,21.03851854,86.62329886
756166,21.11756625,86.6241282
754227,20.75600189,86.64724292
754245,20.4955904,86.66138946
832302,22.45473074,86.57344605
756123,21.07011132,86.61423752
756139,20.9934664,86.60892696
813212,24.96454661,86.5700189
757051,22.26768509,86.57010892
756127,21.03396519,86.58432311
756163,20.96310678,86.59106015
755036,20.85392286,86.53864383
755011,20.80387701,86.5545053
828201,23.72627559,86.54036862
757024,21.86273286,86.67242859
826009,23.82466215,86.55493314
756111,21.14049092,86.55454316
815352,24.06578328,86.63444664
852126,25.65074876,86.57768473
847202,25.96983524,86.13874474
852106,25.75618337,86.49170872
757093,22.24253917,86.49388067
754139,20.1896711,86.45798239
757092,22.080438,86.49924053
828142,23.99583392,86.43218596
852123,25.98827645,86.4677885
826015,21.3572994,85.39420215
852216,25.87340538,86.44039601
851215,25.31949243,86.65849639
754140,20.29407191,86.43444817
828144,23.349712,85.34040657
828147,26.2902416,85.31828434
754253,20.380755,86.42670429
755010,20.64369005,86.40482125
756135,21.10097707,86.43141966
754244,20.43517685,86.41832107
851206,25.63479435,86.39385391
754162,20.35361401,86.39690899
754226,22.87410866,85.33468875
832105,22.89932646,86.37735126
815312,24.25690468,86.38876091
723127,23.06958655,86.39308066
754137,20.3222871,86.33079781
754160,20.29088419,86.37320508
848203,25.65207172,86.29391606
756114,21.12977932,86.34339194
754294,20.23384054,86.16678
758078,21.2779873,86.33805907
754138,20.21342954,86.36161804
755033,23.81666154,85.24113433
757048,22.22274649,86.32877955
757033,22.12686789,86.34169977
754210,20.45098417,86.31665908
754136,20.2650791,86.29867749
754026,20.51048834,85.89578279
815303,25.37055826,85.14959281
757034,21.90021353,86.18523358
756144,21.15484999,86.29158626
848207,25.71169366,86.31340334
847401,26.37816493,86.30603822
825329,23.99111436,86.13947109
758023,21.23881714,86.3129592
757042,22.32397978,86.25541799
754135,20.35106849,86.27569931
754106,20.22100097,86.24848986
758083,21.16213992,86.2470008
754209,20.45842212,86.24443201
832113,22.61237245,86.10826394
754134,20.39363093,86.28306809
827016,25.49407321,85.1021311
835236,19.86365475,85.12323223
815314,24.48637491,86.17722883
754107,20.15967332,86.20840635
758022,21.14562445,86.20360616
757043,22.27003322,86.17696645
825108,24.05093082,86.18895122
752118,19.95101276,86.1825085
754206,20.56067479,86.21278608
831021,21.93588911,84.9831804
754109,20.1723641,86.16489448
845467,24.97269894,84.98034334
852143,20.92303735,84.9648054
852146,25.05304203,84.91565535
852149,21.80637636,84.91154926
852152,26.79768943,84.84078008
757050,22.17160397,86.15685167
757038,21.48421728,86.18255716
755050,20.77231089,86.13873587
851110,25.49670502,86.14888007
848507,24.70986025,84.87178822
851139,21.06538247,84.88652671
848142,25.03456804,84.86673599
752111,19.90440749,86.10221001
